response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0761,0.0005,0.0001,0.0001,0.0753,0.0001,429,6.3502
2.5025,0.0005,0.0001,0.0001,2.5016,0.0002,200,3.9817
2.5748,0.0005,0.0001,0.0001,2.5740,0.0001,200,3.9289
2.5594,0.0005,0.0001,0.0001,2.5586,0.0001,200,3.9492
2.6227,0.0005,0.0001,0.0001,2.6220,0.0002,200,3.9066
2.5829,0.0005,0.0001,0.0001,2.5822,0.0001,200,3.9490
2.6172,0.0006,0.0001,0.0001,2.6164,0.0001,200,3.9455
2.5460,0.0005,0.0001,0.0001,2.5452,0.0001,200,4.0309
2.4970,0.0005,0.0001,0.0001,2.4962,0.0002,200,4.1066
2.5884,0.0005,0.0001,0.0001,2.5877,0.0001,200,4.0155
2.6077,0.0006,0.0001,0.0001,2.6068,0.0001,200,3.9995
0.0845,0.0005,0.0001,0.0001,0.0837,0.0002,429,6.6072
2.5804,0.0006,0.0001,0.0001,2.5796,0.0001,200,4.1607
2.5621,0.0006,0.0001,0.0001,2.5612,0.0001,200,4.2000
2.4784,0.0005,0.0001,0.0001,2.4776,0.0002,200,4.2849
2.5760,0.0005,0.0001,0.0001,2.5753,0.0002,200,4.2016
2.6010,0.0006,0.0001,0.0001,2.6002,0.0001,200,4.1860
2.6142,0.0005,0.0001,0.0001,2.6134,0.0002,200,4.2054
2.5924,0.0005,0.0001,0.0001,2.5916,0.0002,200,4.2400
2.4485,0.0005,0.0001,0.0001,2.4478,0.0001,200,4.4168
2.5875,0.0005,0.0001,0.0001,2.5868,0.0001,200,4.2779
2.6273,0.0005,0.0001,0.0001,2.6265,0.0001,200,4.2534
2.5358,0.0005,0.0001,0.0001,2.5350,0.0001,200,4.4615
2.4833,0.0005,0.0001,0.0001,2.4824,0.0002,200,4.5344
2.5644,0.0005,0.0001,0.0001,2.5636,0.0001,200,4.4547
2.5902,0.0005,0.0001,0.0001,2.5893,0.0002,200,4.4439
2.6302,0.0005,0.0001,0.0001,2.6294,0.0002,200,4.4222
2.6126,0.0005,0.0001,0.0001,2.6119,0.0001,200,4.4628
2.4720,0.0005,0.0001,0.0001,2.4712,0.0002,200,4.6181
2.6074,0.0005,0.0001,0.0001,2.6066,0.0001,200,4.5112
2.5786,0.0005,0.0001,0.0001,2.5779,0.0001,200,4.5402
